target_id,quarter,file_path,label
10063802,10,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_10.npz,1
10063802,11,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_11.npz,1
10063802,12,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_12.npz,1
10063802,13,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_13.npz,1
10063802,14,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_14.npz,1
10063802,15,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_15.npz,1
10063802,16,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_16.npz,1
10063802,17,pre-processing\data\refined\positive\P_Kepler-1000\P_Kepler-1000_Kepler_Quarter_17.npz,1
11074178,1,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_01.npz,1
11074178,2,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_02.npz,1
11074178,3,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_03.npz,1
11074178,4,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_04.npz,1
11074178,5,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_05.npz,1
11074178,6,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_06.npz,1
11074178,7,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_07.npz,1
11074178,9,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_09.npz,1
11074178,10,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_10.npz,1
11074178,11,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_11.npz,1
11074178,13,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_13.npz,1
11074178,14,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_14.npz,1
11074178,15,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_15.npz,1
11074178,17,pre-processing\data\refined\positive\P_Kepler-1001\P_Kepler-1001_Kepler_Quarter_17.npz,1
7449136,0,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_00.npz,1
7449136,1,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_01.npz,1
7449136,2,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_02.npz,1
7449136,3,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_03.npz,1
7449136,4,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_04.npz,1
7449136,5,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_05.npz,1
7449136,6,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_06.npz,1
7449136,7,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_07.npz,1
7449136,8,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_08.npz,1
7449136,9,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_09.npz,1
7449136,10,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_10.npz,1
7449136,11,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_11.npz,1
7449136,12,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_12.npz,1
7449136,13,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_13.npz,1
7449136,14,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_14.npz,1
7449136,15,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_15.npz,1
7449136,16,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_16.npz,1
7449136,17,pre-processing\data\refined\positive\P_Kepler-1002\P_Kepler-1002_Kepler_Quarter_17.npz,1
8689793,1,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_01.npz,1
8689793,2,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_02.npz,1
8689793,3,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_03.npz,1
8689793,4,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_04.npz,1
8689793,5,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_05.npz,1
8689793,6,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_06.npz,1
8689793,7,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_07.npz,1
8689793,8,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_08.npz,1
8689793,9,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_09.npz,1
8689793,10,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_10.npz,1
8689793,11,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_11.npz,1
8689793,12,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_12.npz,1
8689793,13,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_13.npz,1
8689793,14,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_14.npz,1
8689793,15,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_15.npz,1
8689793,16,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_16.npz,1
8689793,17,pre-processing\data\refined\positive\P_Kepler-1003\P_Kepler-1003_Kepler_Quarter_17.npz,1
11673802,0,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_00.npz,1
11673802,1,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_01.npz,1
11673802,2,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_02.npz,1
11673802,3,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_03.npz,1
11673802,4,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_04.npz,1
11673802,5,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_05.npz,1
11673802,6,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_06.npz,1
11673802,7,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_07.npz,1
11673802,8,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_08.npz,1
11673802,9,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_09.npz,1
11673802,10,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_10.npz,1
11673802,11,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_11.npz,1
11673802,12,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_12.npz,1
11673802,13,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_13.npz,1
11673802,14,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_14.npz,1
11673802,15,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_15.npz,1
11673802,16,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_16.npz,1
11673802,17,pre-processing\data\refined\positive\P_Kepler-1004\P_Kepler-1004_Kepler_Quarter_17.npz,1
7668663,0,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_00.npz,1
7668663,1,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_01.npz,1
7668663,2,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_02.npz,1
7668663,3,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_03.npz,1
7668663,4,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_04.npz,1
7668663,5,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_05.npz,1
7668663,6,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_06.npz,1
7668663,7,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_07.npz,1
7668663,8,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_08.npz,1
7668663,9,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_09.npz,1
7668663,10,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_10.npz,1
7668663,11,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_11.npz,1
7668663,12,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_12.npz,1
7668663,13,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_13.npz,1
7668663,14,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_14.npz,1
7668663,15,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_15.npz,1
7668663,16,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_16.npz,1
7668663,17,pre-processing\data\refined\positive\P_Kepler-1005\P_Kepler-1005_Kepler_Quarter_17.npz,1
7047922,1,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_01.npz,1
7047922,2,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_02.npz,1
7047922,3,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_03.npz,1
7047922,4,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_04.npz,1
7047922,5,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_05.npz,1
7047922,6,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_06.npz,1
7047922,7,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_07.npz,1
7047922,8,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_08.npz,1
7047922,9,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_09.npz,1
7047922,10,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_10.npz,1
7047922,11,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_11.npz,1
7047922,12,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_12.npz,1
7047922,13,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_13.npz,1
7047922,14,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_14.npz,1
7047922,15,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_15.npz,1
7047922,16,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_16.npz,1
7047922,17,pre-processing\data\refined\positive\P_Kepler-1006\P_Kepler-1006_Kepler_Quarter_17.npz,1
9353314,1,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_01.npz,1
9353314,2,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_02.npz,1
9353314,3,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_03.npz,1
9353314,4,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_04.npz,1
9353314,5,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_05.npz,1
9353314,6,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_06.npz,1
9353314,7,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_07.npz,1
9353314,8,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_08.npz,1
9353314,9,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_09.npz,1
9353314,10,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_10.npz,1
9353314,11,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_11.npz,1
9353314,12,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_12.npz,1
9353314,13,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_13.npz,1
9353314,14,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_14.npz,1
9353314,15,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_15.npz,1
9353314,16,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_16.npz,1
9353314,17,pre-processing\data\refined\positive\P_Kepler-1007\P_Kepler-1007_Kepler_Quarter_17.npz,1
8766650,0,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_00.npz,1
8766650,1,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_01.npz,1
8766650,2,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_02.npz,1
8766650,3,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_03.npz,1
8766650,4,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_04.npz,1
8766650,5,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_05.npz,1
8766650,6,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_06.npz,1
8766650,7,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_07.npz,1
8766650,8,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_08.npz,1
8766650,9,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_09.npz,1
8766650,10,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_10.npz,1
8766650,11,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_11.npz,1
8766650,12,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_12.npz,1
8766650,13,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_13.npz,1
8766650,14,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_14.npz,1
8766650,15,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_15.npz,1
8766650,16,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_16.npz,1
8766650,17,pre-processing\data\refined\positive\P_Kepler-1008\P_Kepler-1008_Kepler_Quarter_17.npz,1
7094486,1,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_01.npz,1
7094486,2,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_02.npz,1
7094486,3,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_03.npz,1
7094486,4,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_04.npz,1
7094486,5,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_05.npz,1
7094486,6,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_06.npz,1
7094486,7,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_07.npz,1
7094486,8,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_08.npz,1
7094486,9,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_09.npz,1
7094486,10,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_10.npz,1
7094486,11,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_11.npz,1
7094486,12,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_12.npz,1
7094486,13,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_13.npz,1
7094486,14,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_14.npz,1
7094486,15,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_15.npz,1
7094486,16,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_16.npz,1
7094486,17,pre-processing\data\refined\positive\P_Kepler-1009\P_Kepler-1009_Kepler_Quarter_17.npz,1
10905239,1,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_01.npz,1
10905239,2,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_02.npz,1
10905239,3,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_03.npz,1
10905239,4,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_04.npz,1
10905239,5,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_05.npz,1
10905239,6,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_06.npz,1
10905239,7,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_07.npz,1
10905239,8,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_08.npz,1
10905239,9,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_09.npz,1
10905239,10,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_10.npz,1
10905239,11,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_11.npz,1
10905239,12,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_12.npz,1
10905239,13,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_13.npz,1
10905239,14,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_14.npz,1
10905239,15,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_15.npz,1
10905239,16,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_16.npz,1
10905239,17,pre-processing\data\refined\positive\P_Kepler-101\P_Kepler-101_Kepler_Quarter_17.npz,1
8226050,1,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_01.npz,1
8226050,2,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_02.npz,1
8226050,3,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_03.npz,1
8226050,4,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_04.npz,1
8226050,5,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_05.npz,1
8226050,6,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_06.npz,1
8226050,7,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_07.npz,1
8226050,8,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_08.npz,1
8226050,9,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_09.npz,1
8226050,10,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_10.npz,1
8226050,11,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_11.npz,1
8226050,12,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_12.npz,1
8226050,13,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_13.npz,1
8226050,14,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_14.npz,1
8226050,15,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_15.npz,1
8226050,16,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_16.npz,1
8226050,17,pre-processing\data\refined\positive\P_Kepler-1010\P_Kepler-1010_Kepler_Quarter_17.npz,1
9965957,1,pre-processing\data\refined\positive\P_Kepler-1011\P_Kepler-1011_Kepler_Quarter_01.npz,1
9965957,2,pre-processing\data\refined\positive\P_Kepler-1011\P_Kepler-1011_Kepler_Quarter_02.npz,1
9965957,3,pre-processing\data\refined\positive\P_Kepler-1011\P_Kepler-1011_Kepler_Quarter_03.npz,1
9965957,4,pre-processing\data\refined\positive\P_Kepler-1011\P_Kepler-1011_Kepler_Quarter_04.npz,1
9965957,5,pre-processing\data\refined\positive\P_Kepler-1011\P_Kepler-1011_Kepler_Quarter_05.npz,1
9965957,6,pre-processing\data\refined\positive\P_Kepler-1011\P_Kepler-1011_Kepler_Quarter_06.npz,1
9965957,8,pre-processing\data\refined\positive\P_Kepler-1011\P_Kepler-1011_Kepler_Quarter_08.npz,1
